"","Team","Position","Time","Shots","Passes","Tackles","Saves"
"Taiwo","Nigeria","Defender",129,3,36,4,0
"Tamada","Japan","Forward",28,0,9,0,0
"Tello","Chile","Midfielder",45,0,29,1,0
"Terry","England","Defender",360,2,223,3,0
"Thomas","Honduras","Midfielder",114,0,37,5,0
"Thwala","South Africa","Defender",45,0,19,2,0
"Tiago","Portugal","Midfielder",298,6,155,15,0
"Tiote","Ivory Coast","Midfielder",270,3,148,8,0
"Tiene","Ivory Coast","Defender",180,1,82,7,0
"Tomasson","Denmark","Forward",176,7,51,1,0
"Torosidis","Greece","Defender",235,3,74,5,0
"Torrado","Mexico","Midfielder",360,1,253,22,0
"TorresP","Paraguay","Defender",82,2,29,1,0
"TorresF","Spain","Forward",278,9,50,0,0
"TorresU","USA","Midfielder",45,1,32,0,0
"Tosic","Serbia","Midfielder",28,3,9,0,0
"Toulalan","France","Midfielder",180,1,98,9,0
"Trochowski","Germany","Midfielder",109,1,60,5,0
"Tshabalala","South Africa","Midfielder",270,9,135,8,0
"Turcios","Honduras","Midfielder",66,0,27,0,0
"Tziolis","Greece","Midfielder",270,2,153,8,0
"Tzorvas","Greece","Goalkeeper",270,0,41,0,12
"Tevez","Argentina","Forward",324,6,164,7,0
"Uche","Nigeria","Midfielder",196,6,73,2,0
"Upson","England","Defender",180,1,93,4,0
"Valbuena","France","Midfielder",21,1,11,1,0
"Valdez","Paraguay","Forward",337,8,57,9,0
"Valdivia","Chile","Forward",222,3,91,3,0
"Valeri","Australia","Midfielder",245,0,135,5,0
"Valladares","Honduras","Goalkeeper",270,0,51,0,12
"Van der Vaart","Netherlands","Midfielder",257,8,122,4,0
"Van der Wiel","Netherlands","Defender",360,0,189,2,0
"Vela","Mexico","Forward",100,1,25,1,0
"Veloso","Portugal","Midfielder",26,1,30,1,0
"Vera","Paraguay","Midfielder",414,5,138,14,0
"VeronA","Argentina","Midfielder",185,3,235,10,0
"VeronP","Paraguay","Defender",90,0,26,3,0
"Vicelich","New Zealand","Defender",249,1,88,4,0
"Victor Obinna","Nigeria","Forward",72,3,25,4,0
"Victorino","Uruguay","Defender",435,0,141,7,0
"Vidal","Chile","Defender",306,6,178,17,0
"Vidic","Serbia","Defender",270,2,158,7,0
"Villa","Spain","Forward",529,22,169,2,0
"Villar","Paraguay","Goalkeeper",480,0,99,0,10
"Vintra","Greece","Defender",270,0,89,4,0
"Vittek","Slovakia","Forward",353,10,118,0,0
"Vorsah","Ghana","Defender",210,1,56,2,0
"Walter Martinez","Honduras","Forward",125,0,43,1,0
"Webo","Cameroon","Forward",168,4,39,3,0
"Weiss","Slovakia","Midfielder",269,2,84,2,0
"Welcome","Honduras","Forward",87,2,16,0,0
"Wilkshire","Australia","Midfielder",256,2,117,8,0
"Wilson Palacios","Honduras","Midfielder",270,0,90,14,0
"Wood","New Zealand","Forward",66,1,16,0,0
"Wright-Phillips","England","Midfielder",89,2,29,2,0
"Xavi","Spain","Midfielder",515,4,563,6,0
"Yahia","Algeria","Defender",269,1,79,4,0
"Yakin","Switzerland","Midfielder",56,3,26,0,0
"Yakubu","Nigeria","Forward",250,6,43,2,0
"Yano","Japan","Forward",9,0,4,0,0
"Yaya Toure","Ivory Coast","Midfielder",270,3,197,5,0
"Yebda","Algeria","Midfielder",269,8,138,10,0
"Yeom Ki-Hun","South Korea","Midfielder",249,2,80,6,0
"Yobo","Nigeria","Defender",225,0,52,2,0
"Zabavnik","Slovakia","Defender",268,1,94,8,0
"Zambrotta","Italy","Defender",270,2,128,6,0
"Ziani","Algeria","Midfielder",240,5,93,6,0
"Ziegler","Switzerland","Defender",270,1,71,9,0
"Zigic","Serbia","Forward",227,5,65,2,0
"Zokora","Ivory Coast","Midfielder",270,0,96,5,0
"de Jong","Netherlands","Midfielder",448,1,250,15,0
"de Zeeuw","Netherlands","Midfielder",47,0,37,2,0
"van Bommel","Netherlands","Midfielder",540,2,307,31,0
"van Bronckhorst","Netherlands","Defender",540,1,271,10,0
"van Persie","Netherlands","Forward",479,14,108,1,0
"von Bergen","Switzerland","Defender",234,0,79,3,0
"Alvaro Pereira","Uruguay","Midfielder",409,6,140,17,0
"Ozil","Germany","Midfielder",497,7,266,3,0
